review,aspect,aspect_encoded
"The cinematography of Makoto Watanbe is important here, vivid and detailed, a richly evocative affair.', 'there is also great use of lighting and fog to give an ethereal atmosphere",Cinematography,0
"The girl of the forest is a wonderful addition and in my opinion makes the picture what it is, as she glides from branch to branch. Appearing and disappearing like a mysterious nymph with qualities resembling the legendary Cheshire Cat from Alice and Wonderland.",Characters,1
"The plot has been well-discussed, so no need in going over it again.', 'This movie deserves repeated viewings.', ""Americans, especially, aren't going to get all the jokes the first time around.""",Story,2
"Although i was over mainly for the racing, the lure of seeing Phil Daniels in a motorcycle movie proved enough to get me away from the beer and partying.', 'this is up there with the best of British comedy.', 'This is a film not just for us Bikers, but I think for everyone.",Story,2
"""I suppose I'm at fault really because I expected something like 'Roman Holiday'"", 'Greta Scacchi broke into laughter even though they were supposed to be having a serious conversation', 'Silver looked literally lost for words', 'Faye Dunaway seemed more interested in promoting her son, Liam",Characters,1
The photography (even in a good print) is so murky it is occasionally hard to see what is happening.,Cinematography,0
"there is a lot of spectacular music done in spectacular fashion', 'What ensues in some spectacular scenery and mesmerizing scenes",Cinematography,0
"""Andie's acting is so bad in this film - I could not connect with them or feel their love for each other"", 'the other 2 women however were very good and overshadowed Andie', ""Andie's acting didn't help the film"", 'she is all gums",Characters,1
Predictable poor plot,Story,2
"""Clearly they were not from the same country, so I couldn't grasp why they were traveling together."", 'Yes, people in costumes. There was the fire-breather again.', 'Still loved the ending with the two cops.",Characters,1
"It is a movie about a time that no longer exists.', 'This film shows all of that and more.', 'It shows love and trust and caring and the goodness of people.",Story,2
"nothing revolutionary here', ""the 'message' of GARDE A VUE...is a condemnation of police methodology"", 'the film ends at the very moment it appears he will be forced to confront his failure for the first time",Story,2
"The televised movie takes us on a journey that seldom gets as good as it is, with some of the best character development, story and action/visual effects ever seen in such a short amount of time.",Story,2
beautifully filmed by famed cinematographer Toland,Cinematography,0
"The only thing about this movie that remotely resembles the book are the names of some of the characters (Willie, Missie, Henry, Clark, Scottie and Cookie).', 'The names/ages/genders of the children are wrong.', 'The actors are not convincing - they lack emotions.",Characters,1
Chavez represents the weak and misfortunate in the same way Bush is the face of dirty corporations.,Characters,1
"The aunt and cousin of former first lady Jacqueline Bouvier Kennedy Onassis live in this decaying 28 room house out on Long Island.', 'Big Edie and Little Edie.', 'Big Edie (the mother, age 79) apparently likes to run around naked.', ""If I close my eyes and listen to Big Edie's voice it reminds me very much of my own late aunt.""",Characters,1
"""captured perfectly through Riedelsheimer's lens""",Cinematography,0
"the filmmakers seem to be under the impression that whenever they cant be bothered to choreograph a fight scene they just move the camera up close, move fast and turn the music up",Cinematography,0
"""it's hard to know if they have talent or not""",Characters,1
"The photography of course is superb, black and white as black and white should be, wonderful shots', 'Many many Fordian shots of faces, groups, children, women, small things happening, foals in the background",Cinematography,0
Filmed on a budget of what looks to be about 20 bucks,Cinematography,0
"The editing, photography/camera focus and just about everything about this movie was SAD.",Cinematography,0
"Yankovic is not for all tastes', 'Die-hard fans will love it not only for its content",Characters,1
"The much-lauded heist scene is a nail biter, filmed in virtual silence.",Cinematography,0
"I loved the characters.', 'Xica has been by far, the best soap I have ever seen.",Characters,1
the actors are really great,Characters,1
"The characters do not raise much sympathy, a few non-important characters aside.",Characters,1
"interesting and suspicious characters', 'As the star detective, William Powell is alternately starchy and inspired', 'Mary Astor is very lovely here",Characters,1
"Strong story', 'This is a good balance of telling you an interesting story, without drawing it out too long or leaving you unsatisfied', 'You wonder what will happen next, while at the same time, feeling you saw something happen",Story,2
"Many superb character actors are wasted as they are either not given enough to do - Sterling Hayden or Eli Wallach, for instance, or they are asked to go rather luridly over the top - John Huston', 'Jeff Bridges and Anthony Perkins do manage to acquit themselves very well, in their very different ways",Characters,1
"""the two-strip Technicolor 'Chinese Fantasy,' which has been restored for this version. It is truly beautiful""",Cinematography,0
the acting could have been a lot better,Characters,1
"Maybe it was that all the villains in this movie were shouting as if the shouting in itself is suppose to be funny.', 'Zorro the Gay Blade lacks the savvy of Austin Powers, The Big Lebowski or Kingpin.",Characters,1
"the actors are unconvincing', 'the characters are messed up",Characters,1
"horrible acting', 'even worse camera work",Cinematography,0
"Most of the acting is bad', 'the character of Paloma, who symbolizes the dreams of freedom of a child, uses it thoroughly', 'the character played by Eduardo Palomo is the sorriest, and most punished, representation of a transexual I have ever seen",Characters,1
"Thoughtful, stressed out George, his psychoanalyst wife Kim and their young son Miles are heading out to the snowy countryside for a long weekend vacation', 'We can never really be sure if the Wendigo even exists', 'This is more a psychological drama than a horror film",Story,2
"A great cast of actors, dancers and singers.",Characters,1
"I could then go to the first year drama group and they would act it out better than the jokers in this film.', ""This sounds really mean, but I'm certain that they made this as a joke and are entirely aware that they possess neither the skills to act or to write anything, ever.""",Story,2
"Love this little film', 'Loved all the other characters in it, especially the ones played by Patrick Stewart and Leslie Caron",Characters,1
"""Charles Lawton, Jr.'s cinematography"", 'the unforgettable set pieces', 'the stunning, blonde-tressed Rita Hayworth singing",Cinematography,0
"the story, the acting, the dialogues and the direction all are dreadful', 'Wild Style has not much of a story but the music there is great and authentic",Story,2
"four teenage workers in China', 'the owner of the factory in China is amazingly open",Characters,1
fantastic location filming,Cinematography,0
"We all know how brutal children can be', 'I know from my own and my brothers experiences as children and this movie hit the nail on the head",Characters,1
"It is filled w/plot holes and makes no sense.', 'We not only discovered one of the worst movies out there, but also that it is a cult classic!",Story,2
"I would like to commend on the great writing and also, superb performances from the actors.', ""I just love how complex every one of these characters - they're not straight out two-dimensional cardboard cutout good guys/bad guys."", 'Michael Ealy gives a wonderful and believable performance as the Muslim FBI agent Darwyn Al-Sayeed, treading the fine line between being the good Muslim and being a man with flaws.', ""Oded Fehr gives his character Farik an interesting depth - Farik is not the typical oily Middle Eastern stereotype, but simply someone who truly believes in his cause and doesn't see himself as a fanatic but a man willing to do whatever extreme measures to justify his beliefs."", ""He's very charismatic and authoritative."", ""I would say that it was Alex Nesic's performance that clearly left an impression in me in 'Scholar'."", ""His portrayal of his character's emotional struggle was amazing - torn between the softly spoken words of a Muslim scholar encouraging him to return to the non-aggressive way because it is the only acceptable way in God's eye and Farik's persuasion to believe otherwise.""",Characters,1
"Bardem is superb', 'Sampedro (played superbly by Bardem)', 'Enter beautiful yet also afflicted with a crippling disease attorney Julia (the ethereal Rueda)', ""Julia begins to investigate her charge's past"", 'Ramon envisions himself magically leaving his bed', ""That's just one of the cruelties that rings true""",Characters,1
"Black Scorpion is a fun flick about a groovy female super heroine who wears leather tights and drives a car that can morph into her snazzy armored Scorpion Mobile.', 'She battles the evil Breathtaker and all of this is an excellent recipe for a good time IMHO.', 'Breathtaker is so evil he wants to give the entire city asthma!', ""It's all so over the top and that's the beauty of it!""",Story,2
"the movie had an overabundance of lingering shots that made no sense', 'horrible angles', 'terrible lighting', ""the editing didn't help this mess at all""",Cinematography,0
"the perfectly lighted black and white scenes', 'you will feel like you are watching some lost espionage noir classic",Cinematography,0
"took the novel THAT COLD DAY IN THE PARK', 'Sandy Dennis character was originally a male in the book', ""avoiding the homo erotic taboos of gay life in the 60's""",Story,2
"""this film must have been made around her Charlie's Angels run in 1979 or 1980"", ""we assumed this film must have been made around her Charlie's Angels run in 1979 or 1980""",Story,2
"A liberal, though good-hearted Harvard law professor Paul Armstrong is convoked to the Florida Everglades by unjustly convicted black guy Bobby Earl.', 'As he digs further and further into the mysterious case he realizes that Bobby Earl is a victim of discrimination.', 'When the infamous, psychotic serial killer Blair Sullivan is introduced.', 'It turns out that Bobby Earl is a psychopathic murderer and he really did rape and kill Joanie Shriver.', ""Upon Armstrong's beautiful wife and daughter."", 'A good thriller that works. Delivers both mystery and subterfuge.",Story,2
I guess it all lies in the camera movement and editing,Cinematography,0
I loved the gorgeous Greek scenery,Cinematography,0
excellent cinematography,Cinematography,0
"The box they had in the video store had a cool looking monster on the cover but in reality the monster was a creature from the black lagoon mask.', ""Awful, awful, awful...you actually might have to rent it it's so bad."", 'It feels like you are watching a bizzare-o home movie.",Story,2
"""It is an interesting 'little' story"", ""The movie doesn't waste time getting moving"", 'the ending could have been more involved",Story,2
"very good cinematography', ""50's Cinemascope cinematography fans""",Cinematography,0
"""the photography isn't very good""",Cinematography,0
"This is an exquisite film about the search for some bliss in everyday life', 'It is a film about middle age and the choices people make', 'It is deep and thoughtful without beating the viewer up with heavy handedness",Story,2
"the story was too unusual', 'the story is not convincing', 'it is hard to believe that a whole town will allow Sinatra to do anything he wants just because they are afraid of his brother",Story,2
Classic? No. Bad parts? Yes. Entertaining? Big yes.,Story,2
"Robby Benson plays an eager-beaver young police officer', 'cynical oldtimer played by Richard Widmark', ""the youngster's spunky attitude will rub off on the cynic and change him for the better.""",Characters,1
"""the quality of the images it's not the best""",Cinematography,0
"This movie is beautifully looking with impressive sets, costumes and make-up.', ""It's real eye candy to watch all."", ""The movie has some perfectly 'dreamy' sequences that are certainly odd but also very beautiful and imaginative to look at.""",Cinematography,0
the cinematography was not excellent,Cinematography,0
"""some of the characters' actions seemed very, very RANDOM""",Characters,1
"the flashbacks are filmed in a way that portrays them as being somewhat whimsical', 'filmed in black and white with rapid editing to portray the cruel nature of the past events",Cinematography,0
"“some parts were very good, though, like the bit about a woman defying race officials”],",Characters,1
"""Chop Shop is not a work of social criticism but, like Hector Babenco's Pixote, a poignant character study in which a young boy's survival is bought at the price of his innocence."", 'Ale and Isi use any means necessary to keep their heads above water while their love for each other remains constant and they still laugh and act out the childhood that was never theirs.",Story,2
It is filmed with the same quality as a digital home video.,Cinematography,0
"the filmography and acting I am afraid is not the standards I would expect', 'the lighting at times was dark and this added to the feeling of watching a low budget movie",Cinematography,0
The whole exercise is pointless. Why make the film at all?,Story,2
"it IS a tad predictable', 'I would have hoped she could have come up with a story long before the prom', 'a bit contrived",Story,2
the cinematography was nice in places,Cinematography,0
Golden hued palace scenes and dusty yellow panoramas of Chinese landscapes,Cinematography,0
some items are a little disjointed,Story,2
"“a sincere, and sufficiently objective, glance into the destructive and volatile nature of the creative process and the people that try to wrangle those forces.”],",Characters,1
"true to form take on the Dick Tracy persona', 'imagery filled comic era story",Story,2
"characters are one-dimensional, even the good guys and especially the bad guys', ""most of the movie's Northern California characters are blown-dried Hollywood cheese-balls, looking like they've never actually been in a fight""",Characters,1
"skeeziest fakest plastic palm trees in film history', 'in the sands of a wintry Canadian beach",Cinematography,0
"The plot is basically non existent.', 'I advise you that a nickel would be worth more than watching this movie.",Story,2
"This movie is a drama that follows a kid trying to cope with the death of his mother and fears losing baby Gamera to a fight after knowing his father saw the adult Gamera die.', 'This was to be a new trilogy and poor ticket sales killed any hope for this story to continue.",Story,2
"""This is definitely one of the weirder 70's movies out there"", ""it's most notable for kicking off a decade of Bigfoot hysteria"", 'the dark, moody first half is replaced by a MUSICAL INTERLUDE', ""it's still a fun scary movie to show to kids""",Story,2
"""The film follows three friends' misadventures into the world of first-time sex and true love."", 'We follow hopeless romantic Gary on his quest to win over the girl of his dreams which leads him down an uncertain road with a surprise twist at its ending.",Story,2
"lestat is pictured perfectly in it', 'the way he speaks...and the way he looks at mere mortals...his arrogance..and sheer love for fame is pictured flawlessly', 'u will find yourself smiling...at the wit of the characters', 'u will find yourself sympathizing with the vampires",Characters,1
"All shot in a gray cold color.', ""Here we don't see fancy or good imagery, it looks as if shot with your home camera.""",Cinematography,0
"the cast is excellent', ""this is Bette Davis's first great role and one of Leslie Howard's best performances"", ""Howard's Carey is naive and vulnerable"", 'Mildred is unrestrainedly wicked, a user of the worst kind",Characters,1
"""very bad adaption of one of King's best short stories"", 'in the original story King managed to create tension and draw personality of his characters', 'all that is left is a repetitive bore which is far too predictable to be all that suspenseful', 'the effective ending used in the story is in favor dumped for a happy ending which makes the overall impact mute",Story,2
"""the camera's eye was shocking, but experimental"", 'famous lighting, blocking and angles we know', 'the manipulation of Black Irish ... was neither: a force of human conspiracy ... nor of nature",Cinematography,0
"This movie could have been so much better with a script rewrite.', ""Not that I expect a great deal of plausibility in movies, but you'd think that even the homeless and urban-dwelling Jack Mason would question why a group of experienced hunters would want to hire him as a hunting guide."", 'And how does Jack Mason find Thomas Burns back in Seattle?', ""I'm assuming this movie was based on Richard Connell's short story 'The Most Dangerous Game.'""",Story,2
"""the film isn't bad, actually it's better then your usual straight to video I would say."", 'Very slick stuff.', 'some inventive and prominent camera angles",Cinematography,0
"the film has a stellar cast that include Matt Dillon, Jean Reno and Lawrence Fishburne.', 'Its a first rate cast that sells and covers over the stories short comings.",Characters,1
"Amanda B. did a great job as the main role', 'Channing Tatum looks too good to be true as her opposite as the gorgeous Duke",Characters,1
The cinematography is not bad but it looks like it was cut with a machete.,Cinematography,0
"This is a very good story for anyone, young or old, who has ever been in love, or ever wanted to be",Story,2
"""The antagonist characters in the story start out as genuine, real human beings and then slowly progress into 'stereotypical, objectifiable forces of evil' by the very end""",Characters,1
"""The synopsis didn't really tell you much."", 'In parts it was silly, touching and in others some parts were down right hysterical.', ""If you like any of the actors give it a watch but don't look for anything too dramatic it's good fun.""",Story,2
"The story compelling', 'I really wish the ending had been handled differently', 'some sort of an epilogue would have been nice",Story,2
this movie is perhaps more like a love story,Story,2
"""Jack Nicholson's performance is also one of his very best, scaring the hell out of me and making me sure to get out once in awhile.""",Characters,1
wonderful cinematography,Cinematography,0
"the acting and the not-so special effects were nowhere near the standard', 'what is with the men dressed up as women, could they not find any women",Characters,1
"""Zeenat Aman as Dev's sister made a tremendous impact."", 'Dev grows up to be a pilot and he learns that Jasbir is in Kathmandu with certain hippies.', 'Janice who in reality is Jasbir with a new name and new identity.",Characters,1
"""you just can't find any meaning"", ""the two awful scenes where directly connected to war and it's horrors""",Story,2
"Duke, of course plays the hero', 'He had not yet developed his on screen character', ""Also cast in the film were George (pre-Gabby) Hayes as the heroine's father, Cecilia Parker as the heroine and Yakima Canutt as 'one of the boys'""",Characters,1
"The camera frequently goes out of focus', 'the constant panning in some of the over long scenes is annoying",Cinematography,0
"the worst failure is in story', 'There is precious little beyond a short', 'we saw variations of the same scene over and over again",Story,2
"the only intention of this movie seems to be showing love in many different ways', 'each story has only a few minutes, so there is no development of characters and nearly no plot', 'just a sketchy idea of a plot', 'the writer tried to build in turning points that aimed to surprise the viewer', ""that just didn't work out because you didn't get to know the characters in before""",Story,2
"This film could have been a decent re-make', ""What worked in this film in the 1930s doesn't translate to the 2000s""",Story,2
As for the other characters. There is this guy who talks with his mind instead of his voice and this blue alien. The alien guy talks with a deep voice.,Characters,1
"""It's very splashy, with a lot of hey-ma-look-at-this camera work that calls attention to itself, instead of serving to advance the story.""",Cinematography,0
"its cinematography is genius', 'black and white cinematography, suggests us an even more depressed view of the world after the holocaust",Cinematography,0
"the two main characters disability, this was represented in a great performance by both two Michael and Rory', 'theses two certainly made great use as their gifted talent to portray a masterpiece piece of drama",Characters,1
"I was amused, however, by the opening shots of horses having sex in a public square. ],",Cinematography,0
"The film is a blend of pure atmospherics and visceral horror.', ""Bringing in Rob Bottin of The Howling fame, he lays to bear some of the most astonishing transformation effects you'll ever see in a horror film.""",Cinematography,0
"""The script does not contain a single funny line which is rather in the way when you're trying to entertain your audience with humour."", 'the constant continuity errors and bumbling along of the story - if you can find one.",Story,2
"The only character I found still very amusing was the Queen', 'The Queen, she was very funny in this movie and had the best part', 'the voice changes, they were noticeable and also bothered me quite a bit",Characters,1
"chock-full of all the various high-school stereotypes', 'Emily Bergl is as frightening as a cabbage patch doll', ""Jack London... let's just say i didn't pay to see wood act"", 'even the actors look like they were forced into doing this movie",Characters,1
"The two romantic leads, Steve McQueen and Aneta Corsaut, bring surprising depth and sentimentality to the proceedings.', ""Steve McQueen's drag-racing rival almost appears to be an enemy early on in the proceedings, but quickly joins in McQueen's campaign to save the town.""",Characters,1
"the somewhat dim black and white filming only enhances this', 'lingering shots, something most modern day directors do not have the patience for",Cinematography,0
some pretty decent visual effects,Cinematography,0
"Rachel McAdams is wonderful as always.', 'Cillian Murphy is creepier than he was in Batman Begins.', 'Cillian Murphy is really good at being bad.",Characters,1
"the central character, Danny', 'unappealing young man', 'the highly vulnerable and defenceless young woman', 'the doctor entirely careless of any notion of professional ethics",Characters,1
"About the effect of racism on an already fraught relationship between two black men and their sister, two of whom pass for white', 'Plot was minimal, mood and emotional apparent truth were everything",Story,2
"The littlest kids in the short are among the cutest to have ever been on film', ""I honestly can't think of a cuter kid than Spanky at about age four"", 'placing the little tiny boy in charge of babysitting the even younger kids was not only funny, but once again high on the cute factor",Characters,1
"""the movie isn't the Rose!"", 'it was really excellent for its limited budget', ""the portrayal of the Britain of the early 80's, exploding with rebellious youth, looking for a way out of the dole queue""",Story,2
"impressive pictures being filmed under water, in the air or the Arctic",Cinematography,0
"deeper characterisation', ""such as Brian Epstein trying to hide the fact that he has been 'queer-bashed,' only to find out that the band knew he was Gay all along."", ""My favourite scene, which does have some basis in fact, is where at an audition Stuart Sutcliffe has just bought his bass guitar but can't play it, so he stands with his back to the impresario and tries faking it, but gets caught.""",Characters,1
"both Leo Gorcey and Huntz Hall would have better moments', 'the best of which tend to come here when they ad-lib",Characters,1
"strange feeling of watching some 70s TV series, due to the filter and the musical score",Cinematography,0
"The animation is stunning.', 'Very artistic, odd and dark.",Cinematography,0
"The three unknown actors do a great job with pretty demanding roles', 'the characters act realistically in the situation and the dialogue seems natural and not forced",Characters,1
"""The clever thought-provoking way of sending violence back into the audience's face.""",Story,2
I never thought anything as mundane as the simple sale of a music box could leave me catching my breath with excitement.,Story,2
"Let me begin by expressing my admiration for a perfect portrayal by Reese Witherspoon.', 'That her performance stands out in the excellent cast is praise indeed.",Characters,1
"The characters are quirky and feel like real people', 'you may even find endearing as I did",Characters,1
The restored version I viewed used tinting to increase the spooky atmosphere.,Cinematography,0
"Each show is an adventure', 'the Doodlebops do not try to change the world with preachy messages all they do is have fun while sorting out everyday life challenges that the young child may relate to",Story,2
"my dad kept wanting to talk about himself and things in his life he feels he screwed up', 'my dad is not a reticent man, but I was surprised that he wanted to talk about mistakes he thinks he made.",Characters,1
"each characters', 'nice characters and performs', 'hoped more definitions about characters stories",Characters,1
Watching a young Combs at work is great but I wish he had had more lines.,Characters,1
"This movie has about as much entertainment value as getting a root canal.', 'It approaches the abyssmal depths of bad movie making, and then gets even worse.",Story,2
"“Jane Fonda does one Hell of a fine job”, “DeNiro is his usual superb self”],",Characters,1
"""the characters don't show any feelings toward each other""",Characters,1
considerably more real-time footage of blimps etc.,Cinematography,0
"terrible filming and MTV like style', 'slow rain drop shots",Cinematography,0
"Great acting', 'Vincent Ventresca', 'made Thomas character very attractive",Characters,1
"much of it was filmed in my home town of Regina, Saskatchewan",Cinematography,0
The film has the visuals,Cinematography,0
"that guy is older than 50 and so far he almost only played in mediocre TV series', 'he is the living proof of what a great caster Tarrantino is",Characters,1
"None],",Cinematography,0
"""the strange premise, that somehow, having survived the tornado and being apparently incapable of happiness, these people are lucky, and yet don't know quite what to do with their luck""",Story,2
"the story soon descends into a bizarre sexual fever-dream', 'I am intentionally not giving a full description of the most important parts of the plot as they simply have to be seen to be believed",Story,2
the editing in this film did a very good job of making her dancing look not only natural but beautiful,Cinematography,0
"The camera work is out of focus at times and always shaky.', 'It looks as if it was shot on video.",Cinematography,0
"A straight-forward X File that shows that action is always the equal of intelligence', ""it's a standalone X File that even non-fans could happen upon and enjoy""",Story,2
"Only Cross of Iron beats this for tension and story.', 'This is one of the best war films ever.",Story,2
"Douglas and Blondell were both very talented and attractive people who usually delivered, even when the material was not the greatest.",Characters,1
"the plot may not be entirely unique', 'the movie has enough charm to make sure you keep watching.', 'ensure the audience is behind their almost impossible quest to reach the end of the world and destroy the dragon",Story,2
I loved the way this film was shot.,Cinematography,0
"Anthony Minghella made an absolutely stunning film', 'through his camera he manages to create unbelievable emotions inside you",Cinematography,0
"excellent photography', 'Stylish visual direction",Cinematography,0
I had not followed the non-existing plot at all,Story,2
"This was not enjoyable to watch.', ""Frank puts all his dreams on the back burner and gets a normal (boring!) job just so his stepson can go to film school, but his stepson decides that he'll make a humiliating documentary about the man instead."", 'The goal seems to be to make Frank appear dumb and pathetic, instead he comes across as the most human of the 3 people featured.', 'Essentially a smear campaign all dressed up as something much smarter and edgier than it really is.",Story,2
"Fleischer and cinematographer Richard H. Kline do a great job of filling the screen with interesting images and sounds', 'The use of soft, dimly lit visuals, murkily filtered, add a Stygian feel to the New York of the film",Cinematography,0
"cast led by someone besides the totally miscast and talentless Judd Nelson', 'Bill Paxton fan but he was fun to watch",Characters,1
"Ella Raines is good in the female lead role and Thomas Gomez makes a likable policeman.', 'Alan Curtis started well as the confused, innocent man, but once he is arrested his performance took a left turn as he became thoroughly unpleasant to Kansas for no reason.', 'God knows why she stuck by him.",Characters,1
she looks like she´s making a fashion magazine cover in all the shots,Cinematography,0
The acting was terrible,Characters,1
